23.942, -10.599, -0.2133
24.216, -10.665, -0.2014
24.489, -10.728, -0.1897
24.763, -10.788, -0.178
25.038, -10.844, -0.1666
25.369, -10.906, -0.1531
25.644, -10.956, -0.1415
25.919, -11.002, -0.1302
26.139, -11.037, -0.1216
26.414, -11.077, -0.1116
26.69, -11.115, -0.102
26.966, -11.149, -0.0932
27.131, -11.169, -0.0882
27.515, -11.213, -0.0766
27.845, -11.247, -0.0682
28.063, -11.268, -0.0637
28.336, -11.293, -0.0581
28.663, -11.322, -0.0524
28.88, -11.34, -0.0488
29.152, -11.361, -0.0447
29.478, -11.383, -0.0397
29.695, -11.397, -0.0366
29.75, -11.401, -0.0359
30.236, -11.43, -0.0297
30.56, -11.448, -0.0257
30.829, -11.462, -0.023
31.043, -11.474, -0.0208
31.365, -11.49, -0.0182
31.58, -11.5, -0.0168
31.901, -11.513, -0.0151
32.167, -11.522, -0.0137
32.327, -11.528, -0.0132
32.647, -11.539, -0.0124
32.913, -11.549, -0.0116
33.178, -11.558, -0.011
33.443, -11.567, -0.0109
33.708, -11.577, -0.0105
34.025, -11.588, -0.0104
34.237, -11.595, -0.0107
34.502, -11.602, -0.0116
34.768, -11.607, -0.0116
35.034, -11.613, -0.012
35.3, -11.618, -0.0127
35.566, -11.624, -0.0133
35.832, -11.631, -0.014
36.152, -11.639, -0.0151
36.418, -11.646, -0.0158
36.685, -11.653, -0.0164
36.898, -11.659, -0.0171
37.217, -11.667, -0.0187
37.481, -11.675, -0.0193
37.692, -11.681, -0.0198
38.009, -11.691, -0.021
38.22, -11.698, -0.0216
38.22, -11.698, -0.0216
38.8, -11.717, -0.0238
39.064, -11.727, -0.0241
39.328, -11.736, -0.0249
39.539, -11.744, -0.0257
39.803, -11.754, -0.027
40.066, -11.765, -0.0278
40.118, -11.767, -0.0279
40.592, -11.787, -0.0298
40.854, -11.799, -0.0305
41.117, -11.81, -0.0312
41.43, -11.824, -0.0323
41.638, -11.834, -0.033
41.951, -11.849, -0.0336
42.158, -11.859, -0.0342
42.468, -11.876, -0.0356
42.725, -11.89, -0.0358
42.828, -11.896, -0.036
43.238, -11.919, -0.0378
43.442, -11.932, -0.0383
43.698, -11.948, -0.039
43.953, -11.964, -0.0397
44.207, -11.979, -0.0407
44.513, -11.998, -0.0414
44.716, -12.011, -0.042
45.021, -12.03, -0.043
45.275, -12.046, -0.0438
45.325, -12.049, -0.044
45.781, -12.08, -0.0451
45.984, -12.093, -0.0459
46.288, -12.113, -0.0464
46.541, -12.13, -0.0472
46.795, -12.148, -0.0482
47.048, -12.166, -0.0487
47.252, -12.181, -0.0493
47.556, -12.202, -0.0503
47.81, -12.22, -0.0512
47.861, -12.224, -0.0513
48.319, -12.258, -0.0524
48.523, -12.273, -0.0532
48.778, -12.292, -0.0535
49.083, -12.314, -0.0533
49.338, -12.332, -0.0521
49.592, -12.35, -0.0499
49.795, -12.364, -0.0471
50.099, -12.383, -0.0416
50.302, -12.395, -0.037
50.606, -12.411, -0.0279
50.858, -12.421, -0.0194
51.06, -12.427, -0.012
51.362, -12.433, 0.0012
51.614, -12.435, 0.0139
51.865, -12.434, 0.0282
52.116, -12.428, 0.0439
52.316, -12.421, 0.0574
52.617, -12.405, 0.0793
52.816, -12.391, 0.0947
53.114, -12.364, 0.1203
53.361, -12.336, 0.1434
53.558, -12.308, 0.1631
53.802, -12.269, 0.1892
54.095, -12.213, 0.2208
54.288, -12.171, 0.2427
54.528, -12.112, 0.2707
54.765, -12.047, 0.2991
55.001, -11.974, 0.3283
55.233, -11.896, 0.3591
55.508, -11.792, 0.3966
55.734, -11.699, 0.4277
55.912, -11.62, 0.4539
56.172, -11.493, 0.4931
56.384, -11.379, 0.5259
56.591, -11.26, 0.5599
56.792, -11.134, 0.594
56.949, -11.029, 0.6221
57.178, -10.865, 0.6642
57.362, -10.723, 0.7
57.47, -10.636, 0.7212
57.711, -10.423, 0.7727
57.843, -10.298, 0.8024
58.03, -10.104, 0.8472
58.178, -9.939, 0.8859
58.317, -9.769, 0.9254
58.448, -9.596, 0.9648
58.546, -9.455, 0.9964
58.684, -9.239, 1.0436
58.789, -9.056, 1.0839
58.868, -8.909, 1.1164
58.976, -8.685, 1.1647
59.041, -8.534, 1.1969
59.127, -8.307, 1.246
59.189, -8.117, 1.2868
59.232, -7.963, 1.3195
59.288, -7.733, 1.3695
59.318, -7.578, 1.4024
59.356, -7.343, 1.4517
59.38, -7.148, 1.4934
59.394, -6.952, 1.5343
59.4, -6.796, 1.5671
59.399, -6.601, 1.6091
59.387, -6.369, 1.6594
59.368, -6.177, 1.7014
59.342, -5.986, 1.7434
59.308, -5.798, 1.7854
59.275, -5.65, 1.8192
59.222, -5.427, 1.868
59.183, -5.28, 1.9016
59.116, -5.064, 1.9519
59.066, -4.922, 1.9851
58.997, -4.747, 2.0267
58.904, -4.542, 2.0769
58.818, -4.376, 2.1186
58.727, -4.214, 2.161
58.629, -4.057, 2.2023
58.545, -3.934, 2.2351
58.417, -3.755, 2.2842
58.305, -3.609, 2.3245
58.189, -3.467, 2.3647
58.066, -3.33, 2.4046
57.964, -3.223, 2.4357
57.803, -3.069, 2.4824
57.661, -2.946, 2.5207
57.514, -2.829, 2.5576
57.362, -2.718, 2.5942
57.236, -2.633, 2.6233
57.029, -2.507, 2.6653
56.843, -2.407, 2.7007
56.652, -2.311, 2.7357
56.456, -2.222, 2.7698
56.295, -2.154, 2.7961
56.049, -2.059, 2.8342
55.839, -1.988, 2.8642
55.626, -1.922, 2.8932
55.408, -1.861, 2.9201
55.232, -1.817, 2.9401
54.96, -1.753, 2.9678
54.728, -1.704, 2.9906
54.494, -1.66, 3.0118
54.257, -1.621, 3.0322
54.065, -1.592, 3.0471
53.775, -1.553, 3.0682
53.531, -1.526, 3.0838
53.285, -1.503, 3.097
53.036, -1.481, 3.1075
52.836, -1.466, 3.1147
52.53, -1.447, 3.1214
52.271, -1.432, 3.126
52.064, -1.421, 3.1294
51.75, -1.403, 3.1322
51.541, -1.393, 3.1339
51.277, -1.379, 3.1353
50.959, -1.364, 3.1364
50.692, -1.352, 3.1372
50.425, -1.339, 3.1378
50.21, -1.329, 3.1379
49.886, -1.318, 3.1374
49.614, -1.312, 3.1367
49.56, -1.311, 3.1365
49.069, -1.298, 3.1353
48.85, -1.292, 3.1347
48.519, -1.283, 3.1331
48.243, -1.275, 3.1322
47.966, -1.267, 3.1314
47.688, -1.258, 3.1306
47.466, -1.251, 3.1304
47.133, -1.242, 3.1291
46.857, -1.235, 3.1282
46.801, -1.233, 3.128
46.302, -1.219, 3.1265
46.081, -1.213, 3.1255
45.748, -1.203, 3.1248
45.47, -1.194, 3.1242
45.192, -1.185, 3.1234
44.913, -1.176, 3.1225
44.691, -1.169, 3.1216
44.357, -1.157, 3.1205
44.079, -1.149, 3.1197
44.023, -1.147, 3.1196
43.521, -1.132, 3.1184
43.298, -1.125, 3.1182
43.018, -1.115, 3.1174
42.682, -1.103, 3.1169
42.401, -1.094, 3.1169
42.119, -1.085, 3.1177
41.894, -1.078, 3.1183
41.555, -1.068, 3.1197
41.273, -1.06, 3.1212
41.217, -1.059, 3.1215
40.706, -1.046, 3.1265
40.479, -1.042, 3.1293
40.136, -1.036, 3.1345
39.851, -1.033, 3.1392
39.564, -1.031, -3.1387
39.277, -1.032, -3.1328
39.047, -1.033, -3.1279
38.706, -1.035, -3.1194
38.423, -1.038, -3.111
38.367, -1.039, -3.1093
37.858, -1.053, -3.092
37.631, -1.062, -3.0834
37.292, -1.079, -3.0692
37.009, -1.098, -3.0568
36.725, -1.121, -3.0436
36.442, -1.147, -3.0289
36.215, -1.171, -3.0174
35.872, -1.214, -3.0004
35.641, -1.245, -2.9885
35.295, -1.297, -2.9697
35.006, -1.345, -2.954
34.775, -1.388, -2.9405
34.429, -1.457, -2.9197
34.142, -1.521, -2.9028
33.855, -1.59, -2.8856
33.568, -1.663, -2.8676
33.34, -1.726, -2.8536
32.998, -1.827, -2.8323
32.714, -1.916, -2.8146
32.431, -2.01, -2.7974
32.149, -2.109, -2.7799
31.924, -2.192, -2.7655
31.588, -2.322, -2.7443
31.31, -2.438, -2.7274
31.033, -2.558, -2.7114
30.757, -2.683, -2.6975
30.538, -2.786, -2.6873
30.21, -2.942, -2.6726
29.94, -3.075, -2.6615
29.671, -3.212, -2.6508
29.404, -3.352, -2.6402
29.191, -3.465, -2.6326
28.874, -3.638, -2.6221
28.61, -3.785, -2.6138
28.347, -3.933, -2.6061
28.085, -4.085, -2.5994
27.876, -4.207, -2.5943
